resume_index,job_role,resume_skills,required_skills,matched_skills,missing_skills,required_skill_count,matched_skill_count,skill_alignment_percentage
96,Audit Manager,"audit procedures, aws, c#, communication, compliance, flask, internal controls, leadership, risk assessment, seo","audit procedures, aws, communication, compliance, html, internal controls, leadership, risk assessment, tensorflow","audit procedures, aws, communication, compliance, internal controls, leadership, risk assessment","html, tensorflow",9,7,77.78
97,Director,"budget control, communication, compliance, decision making, department management, leadership, rust, strategic planning","budget control, communication, compliance, decision making, department management, kotlin, leadership, responsive design, strategic planning, time management","budget control, communication, compliance, decision making, department management, leadership, strategic planning","kotlin, responsive design, time management",10,7,70.0
98,QA Engineer,"api testing, bug tracking, figma, manual testing, mongodb, react, selenium, serverless, sql, test automation","adobe creative suite, angular, api testing, bug tracking, manual testing, scala, security protocols, selenium, sql, test automation, vue.js","api testing, bug tracking, manual testing, selenium, sql, test automation","adobe creative suite, angular, scala, security protocols, vue.js",11,6,54.55
99,Analytics Engineer,"analytics, cloud platforms, data modeling, dbt, python, rest api, scikit-learn, sql, time management","analytics, cloud platforms, data modeling, dbt, mongodb, pandas, python, security architecture, sql","analytics, cloud platforms, data modeling, dbt, python, sql","mongodb, pandas, security architecture",9,6,66.67
100,Security Tester,"django, problem solving, redis, reporting, risk assessment, security testing, security tools, vulnerability testing","ansible, flutter, marketing, network security, pl management, problem solving, reporting, risk assessment, rust, security testing, security tools, vulnerability testing","problem solving, reporting, risk assessment, security testing, security tools, vulnerability testing","ansible, flutter, marketing, network security, pl management, rust",12,6,50.0
101,Massage Therapist,"anatomy, communication, customer service, django, empathy, massage therapy, negotiation, problem solving, query optimization, serverless","agile, anatomy, cassandra, communication, customer service, empathy, massage therapy, mobile security, problem solving","anatomy, communication, customer service, empathy, massage therapy, problem solving","agile, cassandra, mobile security",9,6,66.67
102,Veterinary Technician,"animal handling, c#, communication, compassion, encryption, go, jira, safety, teamwork, technical skills, veterinary care","animal handling, communication, compassion, safety, technical skills, veterinary care","animal handling, communication, compassion, safety, technical skills, veterinary care",,6,6,100.0
103,Machine Learning Engineer,"angular, deep learning, problem solving, python, pytorch, research, statistics, tensorflow","deep learning, firewalls, mongodb, mysql, problem solving, python, pytorch, research, shell scripting, statistics, swift, tensorflow, user experience","deep learning, problem solving, python, pytorch, research, statistics, tensorflow","firewalls, mongodb, mysql, shell scripting, swift, user experience",13,7,53.85
104,Magento Developer,"e-commerce, graphql, javascript, magento, mysql, php, problem solving, react native","e-commerce, javascript, magento, mysql, nosql, php, problem solving","e-commerce, javascript, magento, mysql, php, problem solving",nosql,7,6,85.71
105,Law Clerk,"analysis, attention to detail, communication, legal research, negotiation, problem solving, ruby, writing","analysis, attention to detail, communication, legal research, mobile security, problem solving, react native, typescript, writing","analysis, attention to detail, communication, legal research, problem solving, writing","mobile security, react native, typescript",9,6,66.67
106,Microbiologist,"data analysis, html, jira, laboratory work, microbiology, node.js, precision, problem solving, python, research","adobe creative suite, agile, data analysis, financial analysis, laboratory work, microbiology, pandas, precision, problem solving, react, research, swift","data analysis, laboratory work, microbiology, precision, problem solving, research","adobe creative suite, agile, financial analysis, pandas, react, swift",12,6,50.0
